Ref,Val,Package,PosX,PosY,Rotation,Side
J2,UPDI,PinSocket_1x03_P2.54mm_Vertical,145.26,-80.48,180,bottom
C1,0.1uF,C_0402_1005Metric,140.48,-86.38,0,top
C2,0.1uF,C_0402_1005Metric,135.88,-80.1,0,top
D1,D_Zener,D_SOD-123,136.1575,-87.12,180,top
D2,PRGM,LED_0603_1608Metric,141.43,-78.62,0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,128.27,-82.71,-90,top
R1,5.1K,R_0402_1005Metric,135.16,-81.44,0,top
R2,5.1K,R_0402_1005Metric,135.1,-84.52,0,top
R3,4.7K,R_0402_1005Metric,138.36,-78.91,180,top
R4,10K,R_0402_1005Metric,142.45,-84.19,180,top
R5,R330,R_0402_1005Metric,141.21,-80.47,0,top
U1,CH340E,MSOP-10_3x3mm_P0.5mm,138.55,-82.7,90,top
U2,LM66100DCK,SOT-363_SC-70-6,142.1075,-82.27,0,top
